,Tweets,Happiness,Anger,Fear,Sadness,Disgust,Sentiment
25,fdaapproved promise,0.2,0.2,0.2,0.2,0.2,Neutral
26,alexis helping high washington overcome high,0.2,0.2,0.2,0.2,0.2,Neutral
27,led harvardaffiliated massachusetts general,0.2,0.2,0.2,0.2,0.2,Neutral
28,new genres social cultural,1.835000,0.615000,0.830000,0.650000,0.540000,Happiness
29,cooking plans thanksgiving,1.490000,0.675000,0.650000,0.600000,0.605000,Happiness
30,prepare uknowhgse offers dinner table,1.302500,0.580000,0.567500,0.555000,0.592500,Happiness
31,sound right different social,0.917500,0.307500,0.415000,0.325000,0.270000,Happiness
32,more appreciation handwritten giving eve,0.2,0.2,0.2,0.2,0.2,Neutral
33,cooking plans thanksgiving,0.745000,0.337500,0.325000,0.300000,0.302500,Happiness
34,wild become familiar grazing roosting stopping,0.2,0.2,0.2,0.2,0.2,Neutral
35,named american,0.317500,0.186250,0.165000,0.173750,0.157500,Happiness
36,more appreciation handwritten giving eve,0.2,0.2,0.2,0.2,0.2,Neutral
37,is universal themusiclabhave published comprehensive,0.2,0.2,0.2,0.2,0.2,Neutral
38,widely believed took according,0.2,0.2,0.2,0.2,0.2,Neutral
39,new orally administered weight fed highfat causing poin,0.2,0.2,0.2,0.2,0.2,Neutral
40,harvard named earned,0.158750,0.093125,0.082500,0.086875,0.078750,Happiness
41,innovative led harvard accelerate hottest,0.2,0.2,0.2,0.2,0.2,Neutral
42,key competitive local highpaying economic,1.055000,0.665000,0.625000,0.610000,0.565000,Happiness
43,new young use diet laxatives higher,1.860000,0.845000,0.935000,0.880000,0.660000,Happiness
44,sheds light neural help organisms build spatial,0.2,0.2,0.2,0.2,0.2,Neutral
45,leading local major create new advanced,0.2,0.2,0.2,0.2,0.2,Neutral
46,announcing innovative led harvard bolster,0.2,0.2,0.2,0.2,0.2,Neutral
47,new african african american daniel agbiboa,0.2,0.2,0.2,0.2,0.2,Neutral
48,harvard named pursue broad,0.079375,0.046562,0.041250,0.043437,0.039375,Happiness
49,national foster healthy aging,0.2,0.2,0.2,0.2,0.2,Neutral
50,academic cv is important scholarly association work,0.2,0.2,0.2,0.2,0.2,Neutral
51,harvard see,0.2,0.2,0.2,0.2,0.2,Neutral
52,developed compact widely tunable,0.2,0.2,0.2,0.2,0.2,Neutral
53,also sheds light form shortterm known unsupervised,0.2,0.2,0.2,0.2,0.2,Neutral
54,takes look dining exploring served,0.2,0.2,0.2,0.2,0.2,Neutral
55,combative driving nationwide harvard,0.2,0.2,0.2,0.2,0.2,Neutral
56,understanding menstrual,0.2,0.2,0.2,0.2,0.2,Neutral
57,first red published gives,1.145000,1.175000,0.970000,0.705000,0.660000,Anger
58,announced recommitment harvard local helped fi,0.2,0.2,0.2,0.2,0.2,Neutral
59,more,0.2,0.2,0.2,0.2,0.2,Neutral
60,anthropologist first realize calcified shed new,0.2,0.2,0.2,0.2,0.2,Neutral
61,new african african american daniel agbiboa,0.2,0.2,0.2,0.2,0.2,Neutral
62,decreasing getting older national,0.2,0.2,0.2,0.2,0.2,Neutral
63,decoded integrate visual,0.2,0.2,0.2,0.2,0.2,Neutral
64,large secretly sent hostile,0.550000,1.915000,1.485000,1.155000,1.030000,Anger
65,takes,0.2,0.2,0.2,0.2,0.2,Neutral
66,scientific molecular cellular,0.2,0.2,0.2,0.2,0.2,Neutral
67,uses skateboard,0.2,0.2,0.2,0.2,0.2,Neutral
68,sustainable commute harvard,0.2,0.2,0.2,0.2,0.2,Neutral
69,joint appalachian collected north american grow scientific,0.2,0.2,0.2,0.2,0.2,Neutral
70,young pragmatic according recent,0.930000,0.422500,0.467500,0.440000,0.330000,Happiness
71,notetaking new graduate,2.120000,0.565000,1.085000,0.900000,0.555000,Happiness
72,new red graduates forum storytelling,0.572500,0.587500,0.485000,0.352500,0.330000,Anger
73,speaking former polish discussed economic,0.2,0.2,0.2,0.2,0.2,Neutral
74,developed new tracking neural,0.2,0.2,0.2,0.2,0.2,Neutral
75,new origins favorite make,0.2,0.2,0.2,0.2,0.2,Neutral
76,dental single archaeological says anthropologist,0.2,0.2,0.2,0.2,0.2,Neutral
77,new paves better,0.2,0.2,0.2,0.2,0.2,Neutral
78,difficult humans nat,0.2,0.2,0.2,0.2,0.2,Neutral
79,sneak were going inside digital wars national,0.575000,1.840000,1.975000,1.835000,1.545000,Fear
80,high quit harvard p,0.2,0.2,0.2,0.2,0.2,Neutral
81,intuitive understanding real also fictional,0.2,0.2,0.2,0.2,0.2,Neutral
82,released examines political civic,0.2,0.2,0.2,0.2,0.2,Neutral
83,sequencing identify highrisk appear,0.2,0.2,0.2,0.2,0.2,Neutral
84,harvard recognized funding open,0.2,0.2,0.2,0.2,0.2,Neutral
85,better feeling first,0.2,0.2,0.2,0.2,0.2,Neutral
86,first red gives firstgen keep,0.286250,0.293750,0.242500,0.176250,0.165000,Anger
87,new drugloaded cancerous mounting,0.520000,1.480000,1.890000,2.015000,1.050000,Sadness
88,traveled take gathering harvard international lead,1.930000,0.610000,0.915000,0.645000,0.565000,Happiness
89,da muertos dead,0.645000,1.210000,1.585000,1.755000,1.000000,Sadness
90,ethan bernstein open actually seem hinder,0.700000,1.305000,1.115000,1.205000,0.975000,Anger
91,developed portable allowing enforcement quickly accurately identify,0.2,0.2,0.2,0.2,0.2,Neutral
92,new used skin imaging well,0.2,0.2,0.2,0.2,0.2,Neutral
93,funand harvard faculty commute,0.2,0.2,0.2,0.2,0.2,Neutral
94,last arrived harvard firstyear,0.2,0.2,0.2,0.2,0.2,Neutral
95,bacow went run undergraduate gathered,0.2,0.2,0.2,0.2,0.2,Neutral
96,indicates made jumps forward often,0.2,0.2,0.2,0.2,0.2,Neutral
97,implies even complex previously thought,1.410000,0.960000,0.985000,0.995000,0.860000,Happiness
98,sunset,2.060000,0.570000,0.555000,0.690000,0.545000,Happiness
99,do think harder levitate turn stone intuitive builtin,0.2,0.2,0.2,0.2,0.2,Neutral
100,created help,0.2,0.2,0.2,0.2,0.2,Neutral
101,shed light overall,0.2,0.2,0.2,0.2,0.2,Neutral
102,new increase decrease existing,0.2,0.2,0.2,0.2,0.2,Neutral
103,came harvard firstyear,0.2,0.2,0.2,0.2,0.2,Neutral
104,cofounded help expand black,0.685000,1.370000,1.460000,1.520000,1.040000,Sadness
105,made key new molecular,0.527500,0.332500,0.312500,0.305000,0.282500,Happiness
106,improved converting insulinproducing boosting,0.2,0.2,0.2,0.2,0.2,Neutral
107,spoke new african,0.2,0.2,0.2,0.2,0.2,Neutral
108,hseashave developed oral dramatically transform,0.2,0.2,0.2,0.2,0.2,Neutral
109,type diabetes greater general developing disease,0.2,0.2,0.2,0.2,0.2,Neutral
110,open met mixed recent ethan bernstein discuss,0.2,0.2,0.2,0.2,0.2,Neutral
111,commute harvard sustainable,0.2,0.2,0.2,0.2,0.2,Neutral
112,cofounded collective young memphis,0.465000,0.211250,0.233750,0.220000,0.165000,Happiness
113,using followed approximately finding,0.2,0.2,0.2,0.2,0.2,Neutral
114,west new dramatic runs november,0.2,0.2,0.2,0.2,0.2,Neutral
115,discusses impact lives young ha,0.232500,0.105625,0.116875,0.110000,0.082500,Happiness
116,includes new walking paths hockey rink playing spacious,0.2,0.2,0.2,0.2,0.2,Neutral
117,looks open hurt done,0.555000,1.640000,1.600000,1.820000,1.135000,Sadness
118,eating red frank hu,1.009062,0.493437,0.488125,0.481563,0.471250,Happiness
119,arrives supreme begins fate daca,0.2,0.2,0.2,0.2,0.2,Neutral
120,studying veteran making harvard,0.2,0.2,0.2,0.2,0.2,Neutral
121,native raises awareness rising epidemic,0.2,0.2,0.2,0.2,0.2,Neutral
122,firstyear learn indigenous studying,1.765000,0.850000,0.830000,0.760000,0.555000,Happiness
123,opioid look,0.2,0.2,0.2,0.2,0.2,Neutral
124,marine corps helping run,0.2,0.2,0.2,0.2,0.2,Neutral
125,armed entering experiences,0.915000,0.615000,0.585000,0.545000,0.565000,Happiness
126,came harvard serving navy,0.2,0.2,0.2,0.2,0.2,Neutral
127,former seal sergio lopez survived attacks,0.2,0.2,0.2,0.2,0.2,Neutral
128,helps prospective las vegas finish work,0.2,0.2,0.2,0.2,0.2,Neutral
129,launch pinafore continues sixdecade staging,0.2,0.2,0.2,0.2,0.2,Neutral
130,frank recent disputed weighs new,0.2,0.2,0.2,0.2,0.2,Neutral
131,new haben conquered tells haben girmas,0.2,0.2,0.2,0.2,0.2,Neutral
132,resulting bug nervous say,0.650000,0.885000,1.705000,1.040000,0.725000,Fear
133,supporting louisville important renoweber,0.2,0.2,0.2,0.2,0.2,Neutral
134,tort global operate,0.2,0.2,0.2,0.2,0.2,Neutral
135,transferred harvard military academic,0.2,0.2,0.2,0.2,0.2,Neutral
136,focuses th native captured era forced,0.2,0.2,0.2,0.2,0.2,Neutral
137,is eating red probably says,0.504531,0.246719,0.244062,0.240781,0.235625,Happiness
138,leads reading writing incarcerated central,0.2,0.2,0.2,0.2,0.2,Neutral
139,run agassiz theatre,0.2,0.2,0.2,0.2,0.2,Neutral
140,discovered prepared caring,0.2,0.2,0.2,0.2,0.2,Neutral
141,new exercise chronic,1.760000,0.790000,0.765000,0.735000,0.700000,Happiness
142,fellow discusses global handle filed,0.2,0.2,0.2,0.2,0.2,Neutral
143,nineshow run hms pinafore agassiz,0.2,0.2,0.2,0.2,0.2,Neutral
144,working improve houston,1.980000,0.645000,0.735000,0.625000,0.530000,Happiness
145,inspired elizabeth,2.025000,0.590000,0.620000,0.590000,0.545000,Happiness
146,new found several physical prevent new even,0.2,0.2,0.2,0.2,0.2,Neutral
147,working high reach,0.2,0.2,0.2,0.2,0.2,Neutral
148,campus november art seeks co,1.715000,0.870000,0.785000,0.940000,0.820000,Happiness
149,studying carry known cause early disease,0.2,0.2,0.2,0.2,0.2,Neutral
150,dean nitin nohria announced,0.2,0.2,0.2,0.2,0.2,Neutral
151,single genetic multiple agerelated,0.2,0.2,0.2,0.2,0.2,Neutral
152,shows mindfulness reduce,0.747500,0.480000,0.535000,0.500000,0.440000,Happiness
153,found protect disease,0.2,0.2,0.2,0.2,0.2,Neutral
154,engaged ever saying,2.165000,0.640000,1.110000,0.655000,0.595000,Happiness
155,found physically active less likely even ac,0.2,0.2,0.2,0.2,0.2,Neutral
156,kansas works solve juvenile,0.2,0.2,0.2,0.2,0.2,Neutral
157,new genomes offers potential took,0.2,0.2,0.2,0.2,0.2,Neutral
158,take,0.2,0.2,0.2,0.2,0.2,Neutral
159,better educate education early engaging young,1.013125,0.388906,0.404219,0.350000,0.320625,Happiness
160,argues political mired partisan,0.2,0.2,0.2,0.2,0.2,Neutral
161,south dakota works increase public understanding,0.2,0.2,0.2,0.2,0.2,Neutral
162,first microrobot powered soft achieve controlled,1.792500,0.715000,0.887500,0.662500,0.637500,Happiness
163,new investigates resistant lead,0.2,0.2,0.2,0.2,0.2,Neutral
164,new,0.2,0.2,0.2,0.2,0.2,Neutral
165,hot cut productivity elevate,0.555000,1.405000,1.525000,1.275000,1.235000,Fear
166,shows however unlikely key,0.263750,0.166250,0.156250,0.152500,0.141250,Happiness
167,saw,0.2,0.2,0.2,0.2,0.2,Neutral
168,diagnosed arthur kleinman medical,0.2,0.2,0.2,0.2,0.2,Neutral
169,fivemonth old plays,0.2,0.2,0.2,0.2,0.2,Neutral
170,mounted appears protect long,0.2,0.2,0.2,0.2,0.2,Neutral
171,las launched training first,0.2,0.2,0.2,0.2,0.2,Neutral
172,harvard says rise hot cut productivity,0.277500,0.702500,0.762500,0.637500,0.617500,Fear
173,last harvard square known wide local national international,0.790000,0.715000,0.655000,0.695000,0.670000,Happiness
174,found virus protect viral,0.2,0.2,0.2,0.2,0.2,Neutral
175,emily broad created mississippi provides wi,0.2,0.2,0.2,0.2,0.2,Neutral
176,learned become,0.882500,0.425000,0.415000,0.380000,0.277500,Happiness
177,found many including distantly related show surprisingly hig,0.2,0.2,0.2,0.2,0.2,Neutral
178,north carolina marine cofounded aims,0.2,0.2,0.2,0.2,0.2,Neutral
179,former discusses range hot foreign,0.2,0.2,0.2,0.2,0.2,Neutral
180,scholar reflected lifes remains inspired,1.393333,0.504167,0.546667,0.537500,0.408333,Happiness
181,virus bodys immune measlesravaged immune relearn,0.2,0.2,0.2,0.2,0.2,Neutral
182,recent forum discussed learned,0.441250,0.212500,0.207500,0.190000,0.138750,Happiness
183,spooky afoot came together halloween,0.2,0.2,0.2,0.2,0.2,Neutral
184,anatomy able printed allowed,0.2,0.2,0.2,0.2,0.2,Neutral
185,inspired jumping accurately unsuspecting several,0.506250,0.147500,0.155000,0.147500,0.136250,Happiness
186,south dakota works increase public understanding ethical,0.2,0.2,0.2,0.2,0.2,Neutral
187,scared watch i still havent recovered shining,0.785000,0.915000,1.377500,1.100000,0.780000,Fear
188,try watching middle says dean long,0.500000,0.312500,0.355000,0.345000,0.322500,Happiness
189,says know effectively see,0.2,0.2,0.2,0.2,0.2,Neutral
190,favorite scary,0.2,0.2,0.2,0.2,0.2,Neutral
191,unidentified kick scary written,0.805000,1.175000,0.890000,0.755000,0.730000,Anger
192,late th able set human,0.2,0.2,0.2,0.2,0.2,Neutral
193,expert argued first enslaved arrived jamestown,0.2,0.2,0.2,0.2,0.2,Neutral
194,mikhail lukin recent set computing,0.2,0.2,0.2,0.2,0.2,Neutral
195,harvard love still haunt,0.2,0.2,0.2,0.2,0.2,Neutral
196,worked hub urban nonprofit,0.2,0.2,0.2,0.2,0.2,Neutral
197,select ensure talk,0.2,0.2,0.2,0.2,0.2,Neutral
198,inspired impressive depth designed b,0.253125,0.073750,0.077500,0.073750,0.068125,Happiness
199,new academic crispr,0.2,0.2,0.2,0.2,0.2,Neutral
200,explores gender marketing trying,0.856250,0.541250,0.533750,0.523750,0.525000,Happiness
201,better remy harvard,0.2,0.2,0.2,0.2,0.2,Neutral
202,working facing led reading writing,1.560000,0.920000,0.930000,1.000000,0.870000,Happiness
203,captures highly efficient swimming,0.2,0.2,0.2,0.2,0.2,Neutral
204,serves independent working improve,0.990000,0.322500,0.367500,0.312500,0.265000,Happiness
205,cyclistsincluding riveragot,0.2,0.2,0.2,0.2,0.2,Neutral
206,recent explored helped black,0.342500,0.685000,0.730000,0.760000,0.520000,Sadness
207,say unusual starts happening,0.2,0.2,0.2,0.2,0.2,Neutral
208,select responsible naming new reconsidering old,0.039688,0.023281,0.020625,0.021719,0.019688,Happiness
209,harvard debated ending electoral improve presidential,0.495000,0.161250,0.183750,0.156250,0.132500,Happiness
210,new potentially save,1.765000,0.615000,0.740000,0.665000,0.515000,Happiness
211,began offering free elementary ago,2.180000,0.575000,0.665000,0.575000,0.545000,Happiness
212,graduating headed memphis cofounded,0.2,0.2,0.2,0.2,0.2,Neutral
213,alexis founded crimson high lowincome,0.2,0.2,0.2,0.2,0.2,Neutral
214,new genomeediting potential known diseasecausing genetic,0.2,0.2,0.2,0.2,0.2,Neutral
215,tuna highly efficient swimming captured first,0.2,0.2,0.2,0.2,0.2,Neutral
216,insight,0.2,0.2,0.2,0.2,0.2,Neutral
217,queen web du honor afr,1.762500,0.685000,0.707500,0.657500,0.622500,Happiness
218,recently harvard discussed national,0.2,0.2,0.2,0.2,0.2,Neutral
219,interactive want strong,1.760000,0.790000,0.825000,0.605000,0.585000,Happiness
220,native works solve juve,0.2,0.2,0.2,0.2,0.2,Neutral
221,scientific verifiable,0.2,0.2,0.2,0.2,0.2,Neutral
222,several leading conservative discussed political,0.2,0.2,0.2,0.2,0.2,Neutral
223,believe says,0.2,0.2,0.2,0.2,0.2,Neutral
224,robotic shed light openocean fish,1.280000,0.570000,0.675000,0.660000,0.805000,Happiness
225,launched local elementary,0.2,0.2,0.2,0.2,0.2,Neutral
226,new developed potential correct many diseasecausing genetic,0.2,0.2,0.2,0.2,0.2,Neutral
227,past native raising awareness rising,0.2,0.2,0.2,0.2,0.2,Neutral
228,gathering newly discovered,0.2,0.2,0.2,0.2,0.2,Neutral
229,new costs gives potentially save,0.882500,0.307500,0.370000,0.332500,0.257500,Happiness
230,un independent based,0.2,0.2,0.2,0.2,0.2,Neutral
231,web du celebrated harvard african,0.2,0.2,0.2,0.2,0.2,Neutral
232,harvard debated proposed alternative current presidential,0.2,0.2,0.2,0.2,0.2,Neutral
233,demystifies higher shows done,0.2,0.2,0.2,0.2,0.2,Neutral
234,just back sabbatical naomi published trust timely,1.545000,0.830000,1.017500,0.875000,0.667500,Happiness
235,developing learning apps,0.220625,0.106250,0.103750,0.095000,0.069375,Happiness
236,originally spirit worked determine postal,1.855000,0.700000,0.745000,0.720000,0.660000,Happiness
237,lords former watch next,0.250000,0.156250,0.177500,0.172500,0.161250,Happiness
238,prizewinning b stewart ongoing,0.2,0.2,0.2,0.2,0.2,Neutral
239,visited hms quad learn,0.110312,0.053125,0.051875,0.047500,0.034688,Happiness
240,serve better include harvard alumni,0.2,0.2,0.2,0.2,0.2,Neutral
241,new genomeediting potential known diseasecausing genetic,0.2,0.2,0.2,0.2,0.2,Neutral
242,mens womens competed last,0.2,0.2,0.2,0.2,0.2,Neutral
243,recent debated proposed elect popular,0.2,0.2,0.2,0.2,0.2,Neutral
244,former top british discusses brexit watch next,0.125000,0.078125,0.088750,0.086250,0.080625,Happiness
245,cofounded los expand,0.2,0.2,0.2,0.2,0.2,Neutral
246,harvard initiative ensure largest corporate,0.2,0.2,0.2,0.2,0.2,Neutral
247,new shows mindfulness help ease fearful,0.464375,0.685000,1.193750,0.742500,0.520000,Fear
248,young says working,0.058125,0.026406,0.029219,0.027500,0.020625,Happiness
249,harvardmed tracking microbiome,0.2,0.2,0.2,0.2,0.2,Neutral
250,grown cow mimic,1.210000,0.655000,0.725000,0.680000,0.790000,Happiness
251,inspired famous serve better explores,0.893281,0.343438,0.319375,0.320937,0.362031,Happiness
252,presidential public supports spend helping work,0.2,0.2,0.2,0.2,0.2,Neutral
253,harvardled showed mindfulness training oncefrightening,0.186875,0.120000,0.133750,0.125000,0.110000,Happiness
254,posting social take seriously,0.591875,0.556875,0.596250,0.541250,0.390000,Fear
255,gone discusses achieve new native american,0.2,0.2,0.2,0.2,0.2,Neutral
256,harvard yard take break connect enjoy,0.2,0.2,0.2,0.2,0.2,Neutral
257,harvard launching,0.2,0.2,0.2,0.2,0.2,Neutral
258,crew rowing distinctive blade unique,0.2,0.2,0.2,0.2,0.2,Neutral
259,harvard played nixon looks,0.2,0.2,0.2,0.2,0.2,Neutral
260,arrives,0.2,0.2,0.2,0.2,0.2,Neutral
261,according new brains neural plays human aging,0.2,0.2,0.2,0.2,0.2,Neutral
262,served presidential public,0.2,0.2,0.2,0.2,0.2,Neutral
263,slated compete,0.2,0.2,0.2,0.2,0.2,Neutral
264,new academic peer tutoring academic,0.2,0.2,0.2,0.2,0.2,Neutral
265,historian new visionary ed underlying,0.2,0.2,0.2,0.2,0.2,Neutral
266,senior atlanta spoke,0.2,0.2,0.2,0.2,0.2,Neutral
267,harvard talked fusing is,0.2,0.2,0.2,0.2,0.2,Neutral
268,heavyweight crew prepare takes,0.2,0.2,0.2,0.2,0.2,Neutral
269,regatta blade used,0.2,0.2,0.2,0.2,0.2,Neutral
270,appears alter processes fearful,0.277500,0.565000,1.060000,0.617500,0.410000,Fear
271,bob harvard began retire academic,0.2,0.2,0.2,0.2,0.2,Neutral
272,neural long implicated ranging also plays,0.2,0.2,0.2,0.2,0.2,Neutral
273,new saving americas harvard historian examines,0.441250,0.153750,0.185000,0.166250,0.128750,Happiness
274,harvard discusses,0.2,0.2,0.2,0.2,0.2,Neutral
275,new created harvardmed microbiome,0.2,0.2,0.2,0.2,0.2,Neutral
276,remains biggest obstacles opioid making hesitant,0.2,0.2,0.2,0.2,0.2,Neutral
277,fresh win harvard kremer methodical,0.938750,0.483750,0.491250,0.477500,0.451250,Happiness
278,childrens harvards leah says new,0.2,0.2,0.2,0.2,0.2,Neutral
279,found mindfulness fearful,0.116094,0.171250,0.298438,0.185625,0.130000,Fear
280,hiroshima recalled followed atomic,0.2,0.2,0.2,0.2,0.2,Neutral
281,started nonprofit sophomore,0.2,0.2,0.2,0.2,0.2,Neutral
282,archive preserves,0.2,0.2,0.2,0.2,0.2,Neutral
283,new shows take omega fish lower,0.640000,0.285000,0.337500,0.330000,0.402500,Happiness
284,riksbank prize economic alfred,0.2,0.2,0.2,0.2,0.2,Neutral
285,harvard cochairs discuss harvard aau sexual,0.2,0.2,0.2,0.2,0.2,Neutral
286,harvard offer looks,0.2,0.2,0.2,0.2,0.2,Neutral
287,formidable ostracized punished even criminalized,0.2,0.2,0.2,0.2,0.2,Neutral
288,says privacy taken seriously social,0.712292,0.438958,0.462083,0.420417,0.323333,Happiness
289,archive based preserves,0.2,0.2,0.2,0.2,0.2,Neutral
290,honor mit recognizes reducing,1.037500,0.325000,0.335000,0.335000,0.320000,Happiness
291,riksbank prize economic alfred,0.2,0.2,0.2,0.2,0.2,Neutral
292,created likeness harvard,0.2,0.2,0.2,0.2,0.2,Neutral
293,new led develop better diagnostic new autism,0.2,0.2,0.2,0.2,0.2,Neutral
294,tree forestoutfitted cameras digital,1.290000,0.560000,0.585000,0.570000,0.530000,Happiness
295,eligible voted nearly doubled compared elec,0.2,0.2,0.2,0.2,0.2,Neutral
296,william,0.2,0.2,0.2,0.2,0.2,Neutral
297,hiroshima recalled dropped atomic,0.2,0.2,0.2,0.2,0.2,Neutral
298,civil global chosen recipie,0.2,0.2,0.2,0.2,0.2,Neutral
299,aiming equip talk winona,0.2,0.2,0.2,0.2,0.2,Neutral
300,worldwide global focused need keep pushing,0.2,0.2,0.2,0.2,0.2,Neutral
301,programmed crispr rnabased ebola,0.2,0.2,0.2,0.2,0.2,Neutral
302,play together halftime anniversary,0.2,0.2,0.2,0.2,0.2,Neutral
303,new led identify biologic molecular give,0.2,0.2,0.2,0.2,0.2,Neutral
304,graduates played key impeachment nixon,0.131875,0.083125,0.078125,0.076250,0.070625,Happiness
305,there free take,1.090000,0.287500,0.332500,0.287500,0.272500,Happiness
306,eligible turned nearly doubled compared last,0.2,0.2,0.2,0.2,0.2,Neutral
307,received establish tan,0.2,0.2,0.2,0.2,0.2,Neutral
308,coauthored,0.2,0.2,0.2,0.2,0.2,Neutral
309,mark th anniversary play together halftime,0.2,0.2,0.2,0.2,0.2,Neutral
310,king provide historical mounting,1.365000,0.705000,0.820000,0.600000,0.605000,Happiness
311,taranaburke civil named recipient,0.019844,0.011641,0.010313,0.010859,0.009844,Happiness
312,hiroshima nuclear shared,0.2,0.2,0.2,0.2,0.2,Neutral
313,umich,0.2,0.2,0.2,0.2,0.2,Neutral
314,newest,0.2,0.2,0.2,0.2,0.2,Neutral
315,mary todays sponsored,0.2,0.2,0.2,0.2,0.2,Neutral
316,studying preserving artists focus hiphop archive,0.2,0.2,0.2,0.2,0.2,Neutral
317,provide competitive pursue aim advance,0.2,0.2,0.2,0.2,0.2,Neutral
318,fellows min jin greenidge groff made tackling unfamiliar,0.2,0.2,0.2,0.2,0.2,Neutral
319,harvard,0.2,0.2,0.2,0.2,0.2,Neutral
320,first held michigan second stigma,0.2,0.2,0.2,0.2,0.2,Neutral
321,limited early challenges rural,0.2,0.2,0.2,0.2,0.2,Neutral
322,urgent says good,1.105000,0.292500,0.302500,0.285000,0.282500,Happiness
323,fewer african american received phd,0.2,0.2,0.2,0.2,0.2,Neutral
324,opioid dropped allornothing advan,0.2,0.2,0.2,0.2,0.2,Neutral
325,got call telling,0.2,0.2,0.2,0.2,0.2,Neutral
326,kaelin physiolo,0.2,0.2,0.2,0.2,0.2,Neutral
327,jackson work composer electroacoustic orchestral,0.2,0.2,0.2,0.2,0.2,Neutral
328,nature often shape shift external pine,1.775000,0.605000,0.710000,0.670000,0.715000,Happiness
329,highly effective difficult high,0.2,0.2,0.2,0.2,0.2,Neutral
330,good last,0.552500,0.146250,0.151250,0.142500,0.141250,Happiness
331,highlighting tackle reduce,0.2,0.2,0.2,0.2,0.2,Neutral
332,worldwide student administrative,0.2,0.2,0.2,0.2,0.2,Neutral
333,kaelin physiology,0.2,0.2,0.2,0.2,0.2,Neutral
334,able individual ultracold eventual,0.2,0.2,0.2,0.2,0.2,Neutral
335,taken postwar karplus new,0.2,0.2,0.2,0.2,0.2,Neutral
336,provides new engineer selfassembling,0.2,0.2,0.2,0.2,0.2,Neutral
337,hkss currently researching political including,0.2,0.2,0.2,0.2,0.2,Neutral
338,former says somber intergrovernmental und,0.2,0.2,0.2,0.2,0.2,Neutral
339,alumna explores excerpt new,0.2,0.2,0.2,0.2,0.2,Neutral
340,writing cultural,0.2,0.2,0.2,0.2,0.2,Neutral
341,created complex shapeshifting demonstrate printed flat,0.2,0.2,0.2,0.2,0.2,Neutral
342,child met marren reconnected arrived,2.055000,0.645000,0.785000,0.750000,0.575000,Happiness
343,looking highlight largest,0.2,0.2,0.2,0.2,0.2,Neutral
344,want discuss major intergenerational says,0.2,0.2,0.2,0.2,0.2,Neutral
345,honored muppet th anniversary,0.518750,0.162500,0.167500,0.167500,0.160000,Happiness
346,hoffa greatest unsolved modern american,0.2,0.2,0.2,0.2,0.2,Neutral
347,new featuring taken nobel vivid postwar,0.2,0.2,0.2,0.2,0.2,Neutral
348,ran white,1.280000,0.570000,0.570000,0.630000,0.575000,Happiness
349,campus,0.2,0.2,0.2,0.2,0.2,Neutral
350,reached bostonschools amp,0.2,0.2,0.2,0.2,0.2,Neutral
351,precisely focused harvard capture control eventual quantum,0.2,0.2,0.2,0.2,0.2,Neutral
352,according new omega reduce,0.2,0.2,0.2,0.2,0.2,Neutral
353,first captured formation individual,0.2,0.2,0.2,0.2,0.2,Neutral
354,see changing evolving preserving rich,0.2,0.2,0.2,0.2,0.2,Neutral
355,studying cooking affect gut,0.372500,0.168750,0.162500,0.150000,0.151250,Happiness
