,Tweet
153,jordancasteels new exhibition cantorarts features paintings made last five years many featuring people
154,in study stanford physicians researchers found better diet associated reduced side effects
155,research shows yearold uber driver makes less per hour yearol
156,stanford chemists developed deeptissue imaging technique see beneath skin illuminate buried
157,
158,theres nothing uglier lot stuff nothing heart connor wedingtons dad taugh
159,goals madison haley catarina macario sophia smith led stanfordwsoccer dominant win wsu last night
160,very different species think bats dolphins evolved ability echolocate part independently acqui
161,stanford chemists developed deeptissue imaging technique see beneath skin illuminate buried
162,in immersive exhibit visitors dance living cells
163,what actually motivates healthy eating a focus taste nutrition research shows
164,early october morning professor michael levitt woke phone call stoc
165,students james fishkinand sophomore college course got staff studythis major new applic
166,for years peter graham savas dimopoulo argued smaller less expensive sensitive instru
167,researchers found potential diagnostic tool treatment
168,a new stanfordled study reveals turmeric commonly used spice throughout south asia sometimes adulter
169,a treatment two componentscognitive behavioral therapy brief early morning flashes bright broadspec
170,old union
171,four stanford scientists awarded grants highrisk research efforts could make bi
172,visiting campus fall bob dylan lucibela jonbatiste joshua bell
173,a preventive treatment developed stanford researchers could greatly reduce incidence severity wildfir
174,we welcomed new graduate students stanford engineering fall heres look theyre coming
175,led another dynamic offensive performance catarinamacario no stanfordwsoccer picked big win no
176,two targeted treatments extend lifespan delay need chemotherapy women common type
177,if arent struggling arent really learning joboaler says
178,
179,too many kids overloaded underprepared denise pope says so healthy look like
180,scientists find potential diagnostic tool treatment parkinsons disease
181,the stanford education data archive publicly available engrossing interactive tool incorporating
182,greater gender diversity results improved performance research prof maggieneale shows with
183,since surviving one countrys worst mass shootings tyahamoy roberts become prominent passionate
184,a study predicts tripling stormrelated damages protective ecosystems coral reefs
185,under revisions go effect today regulators able weigh econom
186,an theory inspired development dark matter radio device could explain mysterious
187,the arctic changing rapidly noah diffenbaugh says the immediate impacts e
188,a new stanfordled study reveals turmeric commonly used spice throughout south asia sometimes adulter
189,every kid needs pdf playtime downtime family time every day denise pope says
190,thanks question sahilgu you learn general use permit
191,in rush deputize companies enforcers new rules public square daphne keller w
192,first days fall stanfords educational farm
193,mild head trauma adolescents adults participate contact sports damages barrier protects
194,researchbased organization stanforded offers resources parents schools kids looking
195,it said quantum mechanics trick conceived influential magic designer jim steinmeyer couldnt
196,a team identified oddball way brain cells spread inflammation several neurodegenerative dise
197,when take photo campus nondescript bicyclist foreground turns x olympic gold
198,to look work good reminder present put phones take pleasure
199,jim fishkin director stanfords center deliberative democracy colleagues assembled participant
200,tie game on road yards catarinamacario
201,there real mission creep right forgotten daphne keller tells nytimes
202,racial segregation leads growing achievement gaps entirely differences school povert
203,its gameday rt youre awake cant wait
204,the anderson collection stanford university opened public five years ago today
205,the expanding reach youth activism reason remain optimistic face
206,in experiment researchers found investors likely bet companys stock price would incre
207,the melancholy museum love death mourning stanford open tells compelling origi
208,jared gilbey part two national championships three conference titles fir
209,scholars analyzed thousands student letters last election see teenagers considered
210,stanford soon new address honor vision strength universitys cofounder jane st
211,at stanford senior will paisley told incoming students th opening convocation find mentors
212,movein day
213,welcome stanford more photos movein day
214,the melancholy museum love death mourning stanford opens today includes
215,disabling single apparently noncritical protein cells may foil replication viruses cause half
216,its movein day
217,a new life science district near campus support development new theories cures critical disease
218,stanfords ensembleinresidence celebrating years commitment community build
219,gameday nextstartsnow
220,harnessing dark night sky power light bulb prof shanhui fan uclas aaswath raman
221,acquired sol lewitts wall drawing essentially design mathematical adjustments two st
222,eunice yang stanford undergrad working ami bhatts lab studying role akkermansia human mic
223,as intern sophia using software development render digital map moon sketch
224,graldine fauville postdoctoral scholar working understand virtual reality used
225,harnessing dark night sky power light bulb prof shanhui fan uclas aaswath raman
226,surprise outofnetwork charges billed privately insured americans received inpatient care innetwork ho
227,years americas intelligence agencies need reinvent writes ti
228,phd student earned name the science sketcher want draw resea
229,the misclassification employees gig economy independent contractors crucial element growing
230,fires southeast asian peatlands release huge amounts carbon along deadly smoke new satellite measureme
231,a new study healthy adults suggests antibiotics may reduce effectiveness flu vaccin
232,a challenge organized stanford researchers produced promising technologies detecting
233,phd student earned name the science sketcher
234,highlights earliest days
235,at stanford find community part grow develop character sense belonging
236,mass drug administration programs done little curb infection rates parasitic disease senegal a
237,david grusky argues millennials canaries coal mine modern economy forces set
238,to i see world terms molecules laura dassama assistant professor chemistry
239,a video editing algorithm gives ordinary motion dancelike rhythm new software allows video editor adjust spee
240,newly digitized vintage film doubled far back scientists peer history underground ice an
241,still summer trever tachis
242,final score season opener northwestern
243,football returns the farm weekend opens season stanford stadium northwes
244,hoover tower trever tachis
245,a group california teenagers exposed common agricultural pesticides birth distinctive reductions
246,intellectual curiosity achieve high level aspects life dna
247,law richard banks says place ideas meet world
248,visiting scholar check frogs help colleagues study neural basis
249,despite sharp differences party ideology americans serious respectful conversations acr
250,clues canadian rocks formed billions year ago reveal previously unknown loss life even greater th
251,keeping kids busy supervised activities detriment know need healthy developme
252,big game after struggling soggy first half returned field throw two touchdowns
253,the bellwether trial doesnt control path future litigation but go first helps indicate
254,stanfords new anne t robert m bass biology research building
255,new research using data spitzer space telescope provided rare glimpse surface rocky
256,a new coating could make lightweight lithium metal batteries safe long lasting boon development next
257,playtime downtime family time protect kids host negative outcomes denise pope says
258,great promise cancer treatment current therapies work resea
259,incorporating traditional techniques current fire suppression practices could help revitalize american indian
260,through years stanford michael fayer always looked students grew hobby that mindset
261,stanford researchers invited study participants clean dishes smart faucet would adapt
262,unemployment low california yet states children live near if tradition
263,atomically thin materials developed stanford researchers could create heatshields cell phones laptops th
264,what explains breathtakingly immoral inaction the nature empathy jamil zaki says our
265,heterosexual couples likely meet romantic partner online personal contacts conne
266,as global population grows billion people growing prosperity increases appetites protein
267,stanford researchers invited study participants clean dishes smart faucet would adapt
268,unemployment low california yet states children live near if tradition
269,why return crystal power were situation people want find spiritual state also
270,having two parents home even small amount time offers significant postpartum benefits maya
271,its important students know young faculty lives we partners children job
272,atomically thin materials developed stanford researchers could create heatshields cell phones laptops th
273,most internal microbes live colon really get access dregs eat
274,a positive attitude toward math predicts math achievement kids stanford research
275,stanford engineers developed experimental stickers pick physiological signals emanating skin
276,what makes birds good sticking landings even unlikely places stanford engineers pu
277,the view hoover tower
278,microbes human gut churning tens thousands proteins small theyve gone unnoticed previou
279,keeping fossil fuels ground best way limit warming csar terrer says
280,high school students took minute online course help cultivate growth mindset belief
281,atomically thin materials developed stanford researchers could create heatshields cell phones laptops th
282,researchers identified genes important risk whats interesting
283,back campus opens regular season one week today
284,stanford engineers developed experimental stickers pick physiological signals emanating skin
285,a positive attitude toward math predicts math achievement kids stanford research
286,your identity affects experience physicist even if acknowledge
287,correct
288,degrees
289,ami bhatt first learned trillions microorganisms live us
290,most internal microbes live colon really get access dregs eat
291,adjusted inflation average earnings man didnt go college lower years ag
292,only percent working americans say theyre saving enough retirement gopi shah goda wanted kn
293,in medicine maya adam says you really throw two
294,keeping fossil fuels ground best way limit warming csar terrer says
295,prof michael fischbach mfgrp director new stanford microbiome therapies initiative wants build
296,stanford launching major new effort harness communities microbes inhabiting bodies known th
297,a new collaboration local independent school helping stanford researchers better understand different
298,tapping interests motivations children help understand value speaking b
299,no matter youre learn environment ecosystem youre even youre op
300,a new collaboration independent school menlo park calif helping stanford researchers better unders
301,aisha khan winner stanford bright award combats climate change promoting economic resilience
302,a recipe creating microscopic crystal structure hold two wavelengths light step towa
303,high school students took minute online course help cultivate growth mindset belief
304,today fantasy often seen low culture meant entertain enlighten distract engage med
305,what makes birds good sticking landings even unlikely perches stanford engineers p
306,daniel freedman visiting professor stanford institute theoretical physics corecipient spe
307,a new stanford study finds people perceive cigarettes proenvironment marketing packaging less
308,noisy artificial office environments make people feel anxious distracted undermining performance
309,all students linguistic toolkit made competencies like multilingualism codeswitching but
310,i think summer job really convinced i wanted go profession i could come home
311,why render physics dynamically sight sound merely play prerecorded clips timed accompany
312,thinking finding relations paths things just feet move place place along spatial pa
313,on nprs psychologist jamil zaki explains empathy like muscle strengthened
314,a new battery made affordable durable materials generates energy places salt fresh waters
315,a new study stanfords found new refugees likely find work within firs
316,its poem painting end day art universal language its vehicle
317,computer scientists created much faster tool seamlessly sync sound action simula
318,if dont strong supply wellprepared teachers nothing else education work pro
319,failure generative important success stanford faculty members memorable summer
320,pedestrians may likely jaywalk know wont hit car could spell trouble
321,cancer cells known protect using proteins tell immune cells attack stanford researcher
322,on nprs psychologist jamil zaki explains empathy like muscle strengthened
323,dustin schroeder professor came across local astronomy club invited inte
324,in study asylum seekers switzerland new refugees likely find work assigned li
325,energy created places salty ocean water freshwater mingle could massive source renewable power
326,at annual learning design technology expo students showed prototypes ideas
327,a camera developed stanford electrical engineers analyze single particles light detect moving objects
328,stanford physicists developed quantum microphone sensitive measure individual particles
329,rachel fong focuses school week spends weekends producing videos popular youtube c
330,patients getting little relief conventional smallmolecule drugs injectable biologic
331,a stanford team created way helping city planners landscape architects developers others ant
332,basic research requires scientists keep bigger picture mind work adam nekimken says we try
333,noel vest hasnt let past experiences addiction incarceration keep science career he recen
334,its weve its goingtheres always earnedit start
335,this oneweek intensive takes students entirety humanities research process miniature
336,even lab project doesnt work theres still something learned postdoctoral fellow alakananda das says
337,this oneweek intensive takes students entirety humanities research process miniature
338,journey discovery data intertwined lab failure part science theres uncertain
339,seven days seven championships day freshman ryann neushuls gamewinner fourth quarter secured ncaa
340,a perfect storm warming waters reduced food blame collapse lucrative jumbo squid fi
341,as part internship residential amp dining enterprises stanford juniors ben backus nathan poczekay bui
342,seven days seven championships day dethroned oklahoma final rotation earn program
343,new research confirms many already witnessed personal lives heterosexual couples increasing
344,catalin voss started building software google glass yearold stanford freshman now
345,sometimes road scientific discovery starts origami microscope openended walk
346,three schools stanfordmed stanfordhumsci opened laboratory doors summer
347,stanfords archive film pioneer spyros skouras expanded include hours audio recordings
348,seven days seven championships day different allamericans combined allamerica honors helping
349,the misclassification hospitalacquired infections may costing medicare million year new
350,each day week reliving one years championship wins there seven up fir
351,michelle monje dedicated career finding safer effective therapies children wit
352,do vcs really favor white male founders to test premise prof ilya strebulaev sent emails
353,fifteen books summer reading recommended professors
354,manu prakash known lowcost curiosity driven science his latest discovery started paper micro
355,sometimes road scientific discovery starts origami microscope openended walk
356,what caused long period cooling carried earth last ice age a new hypothesis ought trigger
357,on july mike mussina become first former cardinal player inducted national
358,the discovery ecofriendly form genetic engineering plants potential open farmland
359,fifteen books summer reading recommended professors
360,an interdisciplinary team stanford graduate students developing app improve training us military
361,stanfords incoming undergraduate students reading three books summer
362,ryan adesnik served associate vice president stanford since lead government relations eff
363,fifwwc
364,researchers designed algorithm integrate many types predictive data generate
365,stanfords incoming undergraduates read three books coming campus th
366,stanford scholars developing analyze data investigative journalism help newsrooms prevent b
367,to shrink damage scientists tried taking aim set firstresponder immune cells li
368,regent new programming language developed stanford could make supercomputing accessible researchers
369,pointing turbines slightly away oncoming wind called wakesteering reduce interference improve bot
370,the best way regulate emotions start selection environment phd candidate amit gol
371,the complexity health insurance overwhelming result people often choose suboptimal plans
372,what know food prevention boiled three ds kari nadeau says
373,researchers examined million tweets posted response different mass shooting events they found signifi
374,llamas lounging close spring quarter
375,the declaration independence regarded nations foundational text containing governing creed yet
376,happy fourth july bob drebin stanford photo
377,warmer atmospheric rivers generally produce rain snow diminishing summer water supplies triggering
378,the insidenatgeo further award recognizes leader whose work uniquely innovative timely impactful watch co
379,the complexity health insurance overwhelming result people often choose suboptimal plans
380,to shrink damage scientists tried taking aim set firstresponder immune cells li
381,what know food prevention boiled three ds kari nadeau says
382,when i twelve moved allblack neighborhood allwhite neighborhood i think move got
383,regent new programming language developed stanford could make supercomputing accessible researchers
384,looks familiar kelleymohara christenpress gostanford gostanford fifawwc uswnt
385,the declaration independence regarded nations foundational text containing governing creed yet
386,pointing turbines slightly away oncoming wind called wakesteering reduce interference improve bot
387,facebook companies like present governance challenge change way international law wor
388,one gostanford recipients ncaa postgraduate scholarship michellexiao plans attend medical school wit
389,a simpler technique detecting electrical activity brain could help unlock power mind direc
390,the cuts money ngos performing promoting abortions abroad results less funding f
391,stanford engineers created prototype autofocals designed restore proper vision people would
392,young jean lee associate professor theater performance studies drawn upon experience arriving
393,congratulations teams everyone supported their efforts year earned
394,women asked questions level fell well level representation two national genetics meetin
395,art oval years ago week
396,exposure high levels tiny particulate matter wildfire smoke abbreviated pm impairs immune
397,stanford president marc tessierlavigne born canada attended three schools many countries h
398,stanford researchers developed model help radiologists interpretation mammograms a study sho
399,stress technology tribalism pushing us away empathy generosity goodwill jamil zaki says qual
400,the best way regulate emotions start selection environment phd candidate amit gol
401,from classes practice bonding teammates stanfordhopolos chloe harbilas takes us typical day campus
402,visual journalist nytimes former starting midfielder stanfordwsoccer crisscro
403,turning methane co would eliminate onesixth cumulative drivers
404,researchers examined million tweets posted response different mass shooting events they found signifi
405,researchers developing better faster ways providing human guidance autonomous robots
406,when candidates talk progressive economic policies language consistent traditionally conservative val
407,brandon wu senior miss commencement compete us open so tournament officials
408,matt martinez former pilot u s marine corps served afghanistan iraq libya begin f
409,the department emergency medicine working nine local fire departments ensure crews
410,after serving marines years matt martinez came contributed textbook
411,stanford scholars comment epas new affordable clean energy rule means environment econ
412,phd husband built ai baby trained speaking singing its voice
413,stanford staff already busy welcoming class campus community
414,the devil always details devil everywhere joseph grundfest
415,giant bluefin tuna travel hundreds miles weeks whats secret moving far fast
416,giving fathers flexibility take time work months children born improves postpartu
417,pilot program merged hightech hightouch interventions provide patients
418,alan zorn graduated weekend doctorate aeronautics astronautics
419,two young brothers ronnie levi saved team new approaches rare genetic diseas
420,to may concern a word letter set wheels motion sally ride accepted one
421,once deployed chilean mountain billionpixel camera construction image almost
422,what expect wildfire season stanford experts discuss
423,monica lam colleagues building virtual assistant would allow individuals corpor
424,wacky walk
425,there many people want credit without responsibility too many show ribbon cutting
426,congratulations stanford class it honor celebrate today be different leave something w
427,commencement tldr
428,congratulations class
429,all need love blovee gostanford
430,let today serve beginning ending follow talents interests foundational value
431,apple ceo class
432,apple ceo class if get bed every morning set watch
433,too many show ribbon cutting without building anything worth damn be different leave something worth
434,fourteen years ago steve stood stage told predecessors time limited dont waste
435,builders comfortable belief lifes work one day bigger thembigger one
436,whatever life builder
437,that doesnt mean tamer smaller less its opposite serving
438,no matter go matter i know ambitious you wouldnt today
439,if want take credit first learn take responsibility
440,if believe freedom means environment great ideas take root grow nurture
441,the chilling effect digital surveillance profound touches everything
442,in world without digital privacy even done nothing wrong think differently begin
443,apple ceo class taking responsibility means courage think things thr
444,it feels bit crazy anyone say but youve built chaos factory cant dodge resp
445,whether like build create define
446,apple ceo class
447,big dreams live genius passion make real in age cynicism place still belie
448,fueled caffeine code optimism idealism conviction creativity generations stanford graduates
449,the past decades lifted us together but today gather moment demands reflection
450,stanford silicon valleys roots woven together were part ecosystem it true steve st
451,graduates day but didnt get alone family friends teachers mentors loved ones
452,you may find times path forward unclear or may realize hindsight made miss
453,i always return founding purpose universitythat generate excellence sake
454,president marc tessierlavigne class you world opportunity front
455,as stanford graduates built earned platforms your education experiences give
456,even leave campus behind remain cherished part stanford family
457,your years stanford time intellectual exploration remarkable accomplishment extraordinary h
458,congratulations recipients stanfords cuthbertson dinkelspiel gores awards
459,please rise think family members friends supported special journey turn
460,stanford proud enroll students around globe members undergraduate class hail
461,today award bachelors degrees masters degrees doctoral degrees
462,marc tessierlavigne our senior class members graduate studentscongratulations every one
463,watch commencement livestream
464,wacky walking
465,waiting wings commencement
466,the stage nearly set stanfords th commencement watch live stream ceremony featuring tradi
467,one last message class commencement fathersday
468,at todays baccalaureate ceremony olympian activist urged graduating students never afr
469,life days commencement im trying soak
470,if i give piece advice fellow members id say take seriously
471,being space werent ton native students high school important
472,years ago june i diagnosed cancer i after bone marrow transplant days
473,ultimately effective leaders must able make diversity salient needed focus collectivi
474,when people common interest hard band together common goal just able turn
475,the indigenous students stanford resilient powerful people i ever met aliyah
476,stanford chemists identified synthesized two new healing compounds scorpion venom effective
477,apple ceo prominent voice ethics technology business deliver commencement address
478,as global temperatures climb risk armed conflict expected increase substantially according expert
479,i think final weeks campus im trying soak class calee
480,those wait case include kelleymohara christenpress alums
481,there many memories ive made stanford im grateful im going miss making new ones cla
482,congrats robert kelley accepted regional theater award theatreworkssv founded
483,meet christopher leboa recipient dinkelspiel award shaping service experience
484,nine members stanford community recognized exceptional contributions university dur
485,i love stanford ultimately i know ive equipped ideology way thinking approachin
486,as chair stanford government olivia hope martin helped register student voters midterm ele
487,a digital collaboration led tom mullaney maps relocation millions graves china exhum
488,doctors could soon get help tool diagnosing brain aneurysms bulges blood vessels
489,the california medical association stanfordmed launched fiveyear multimilliondollar initi
490,a new algorithm allows editors modify video using text transcript
491,a new report stanford scholars lays problems us face result decadeslong rising
492,stanford scholars outlined detailed strategy protect integrity american elections
493,merseyside county experienced percent drop hate crimes mohamed salah star muslim player joined
494,uses including every skill i toolbox dealing people flexibility curio
495,a swarm tiny satellites size computer chips costing recently launched earths
496,empathy skill cultivated time stanford psychologist jamil zaki found right pra
497,trust instincts intuition as commencement approaches sharing advice alumni
498,meet alma floresperez class
499,giving new fathers flexibility take paid days work help mothers need extra support
500,zac manchester explains chipsized satellites helped create one day able carry
501,the high concentration democrats cities led systemic underrepresentation congress explains jonat
502,congratulations fifth consecutive national championship weekend
503,using accelerated design process mechanical engineers stanford developed stable efficient prost
504,immune markers pollutant levels blood indicate smoke may harmful childrens health
505,ive never lived anywhere longer stanford campus its like home jimmy ruck
506,championsno stanfordmgolfno homeofchampions
507,stanford mechanical engineers working nasa alternative jet fuel could reduce emissions also
508,the flavoring liquid ecigarettes may increase risk cardiovascular disease inhaled according
509,would promote female employee reported victim sexual harassment work phd candidate c
510,scientists may able work true colors dinosaurs creatures prehistory new scan
511,on podcast schools in stanfordmeds dennis wall explains team developing tools add
512,a seemingly counterintuitive approach converting one greenhouse gas another holds promise returning th
513,a study provides new clues creativity middle childhood a key finding
514,stanfords iconic frost amphitheater reopened extensive renovations upgrades make one
515,could drought california linked drought midwest a new stanfordled study finds regions
516,rebecca silverman explains different arguments best methods teaching kids read epi
517,stanford doggo built scratch stanford student robotics club walk trot dance hop jump perf
518,with victory georgia gained th ncaa crown sunday night
519,in study percent subjects avoided sitting chair seen virtual person sit
520,as people get closer goal end focusing distance partners rather th
521,why old blood bad brains new work stanford neurobiologist tony wysscoray could open therapeutic
522,a free online course explores beethovens music development composer performances st lawrenc
523,stanford researchers mapped symbiotic relationships trees microbes worldwide they found striking glo
524,the newest episode the future everything podcast features kari nadeau one natio
525,earth different place last time levels atmospheric carbon dioxide high rob jackson
526,researchers dont know much viruses like cause chicken pox infect cells a supercold form
527,pilot program merged hightech hightouch interventions provide patients
528,
529,
530,its back the th annual stanford powwow runs friday sunday eucalyptus grove galvez campus
531,when youre told cant something makes much special areta bunesss indomitable spi
532,one hundred fifty years ago may leland stanford drove last spike marked completion
533,looking outside stanfords public service holly hernandez
534,adults played videogames extensively children brain region responds preferentially
535,the greeks classics scholar adrienne mayor says thought pants bizarre derided multicolored bag
536,its exciting discover new parts history share context world bringing light past
537,scientists stanfords hopkinsmarine station listening whale calls since
538,stanford researchers shown relatively new technology chatbot dubbed quizbot significantl
539,over past several years stanford transformed energy infrastructure cut greenhouse gas emissions
540,taking advantage viable space solar panels could allow schools meet percent electri
541,researchers developed specially instrumented aerial drone measure sediment flows san f
542,the historical data clearly show people healthier productive work temperatures neithe
543,adults played pokmon videogames extensively children brain region responds preferentially im
544,string theory feels like little superpower i physical intuition extremely powerful framewo
545,a study stanford researchers employed stateoftheart visualization techniques reveal helicobacter pylor
546,scientists artists adventurers graduate student brandon rayhaun says go abstract un
547,dancing increases cognitive acuity ages richard powers tells it integrates several brain f
548,taking advantage viable space solar panels could allow schools meet percent electri
549,one best things playing sport stanford tight integration athletes rest camp
550,the fact someone athlete remove right speak said discussion wit
551,maya rossinslater explains postgraduate fellow mehraan keval spending year stockton
552,as militaries around world race build robotic systems increasing autonomy difficult questions arise ab
553,stanfords renamed honor alumna psychologist carolyn lewis attneave worked outs
554,as recycling becomes harder expensive us stanford experts reassessing create disp
